,value,percentage,datetime,type,magnitude
0,277.963,0.017289532950974386,2021-01-01T00:00:00.000+01:00,Eólica,
1,159.483,0.00778985260369753,2021-02-01T00:00:00.000+01:00,Eólica,
2,306.115,0.012844592224845634,2021-03-01T00:00:00.000+01:00,Eólica,
3,294.669,0.013006697432412184,2021-04-01T00:00:00.000+02:00,Eólica,
4,189.554,0.006641720067935776,2021-05-01T00:00:00.000+02:00,Eólica,
5,94.217,0.0027037871558731556,2021-06-01T00:00:00.000+02:00,Eólica,
6,106.017,0.0030600875673944764,2021-07-01T00:00:00.000+02:00,Eólica,
7,201.281,0.005747525136338497,2021-08-01T00:00:00.000+02:00,Eólica,
8,274.448,0.009146828632758452,2021-09-01T00:00:00.000+02:00,Eólica,
9,269.748,0.01136309879288243,2021-10-01T00:00:00.000+02:00,Eólica,
10,61.364,0.0026694271570015687,2021-11-01T00:00:00.000+01:00,Eólica,
11,101.25,0.004975164225871571,2021-12-01T00:00:00.000+01:00,Eólica,
12,8589.705,0.5342868929916911,2021-01-01T00:00:00.000+01:00,Solar fotovoltaica,
13,9513.097,0.46466158421071313,2021-02-01T00:00:00.000+01:00,Solar fotovoltaica,
14,13295.219,0.5578676856574161,2021-03-01T00:00:00.000+01:00,Solar fotovoltaica,
15,14715.46,0.6495407925460913,2021-04-01T00:00:00.000+02:00,Solar fotovoltaica,
16,22208.132,0.7781434101932256,2021-05-01T00:00:00.000+02:00,Solar fotovoltaica,
17,21169.705,0.6075164404791463,2021-06-01T00:00:00.000+02:00,Solar fotovoltaica,
18,22969.893,0.6630057820319516,2021-07-01T00:00:00.000+02:00,Solar fotovoltaica,
19,21414.781,0.6114933455551396,2021-08-01T00:00:00.000+02:00,Solar fotovoltaica,
20,17676.382,0.5891201138327703,2021-09-01T00:00:00.000+02:00,Solar fotovoltaica,
21,16811.54,0.7081838971206263,2021-10-01T00:00:00.000+02:00,Solar fotovoltaica,
22,8817.892,0.38359168848684694,2021-11-01T00:00:00.000+01:00,Solar fotovoltaica,
23,11153.282,0.5480435516785909,2021-12-01T00:00:00.000+01:00,Solar fotovoltaica,
24,57.757,0.0035925340950033907,2021-01-01T00:00:00.000+01:00,Otras renovables,
25,76.888,0.0037555487857207086,2021-02-01T00:00:00.000+01:00,Otras renovables,
26,137.787,0.005781545591966435,2021-03-01T00:00:00.000+01:00,Otras renovables,
27,105.74,0.004667366389078133,2021-04-01T00:00:00.000+02:00,Otras renovables,
28,118.546,0.004153694183048179,2021-05-01T00:00:00.000+02:00,Otras renovables,
29,100.444,0.00288248614458668,2021-06-01T00:00:00.000+02:00,Otras renovables,
30,96.151,0.002775314144830983,2021-07-01T00:00:00.000+02:00,Otras renovables,
31,84.413,0.002410390644590108,2021-08-01T00:00:00.000+02:00,Otras renovables,
32,81.382,0.002712306913481419,2021-09-01T00:00:00.000+02:00,Otras renovables,
33,243.059,0.010238828200762232,2021-10-01T00:00:00.000+02:00,Otras renovables,
34,240.076,0.010443670460600818,2021-11-01T00:00:00.000+01:00,Otras renovables,
35,230.462,0.011324309114299397,2021-12-01T00:00:00.000+01:00,Otras renovables,
36,7151.5275,0.4448310399623312,2021-01-01T00:00:00.000+01:00,Residuos renovables,
37,10723.705,0.5237930143998685,2021-02-01T00:00:00.000+01:00,Residuos renovables,
38,10093.0875,0.4235061765257718,2021-03-01T00:00:00.000+01:00,Residuos renovables,
39,7539.3055,0.3327851436324183,2021-04-01T00:00:00.000+02:00,Residuos renovables,
40,6023.664,0.21106117555579038,2021-05-01T00:00:00.000+02:00,Residuos renovables,
41,13481.942,0.38689728622039377,2021-06-01T00:00:00.000+02:00,Residuos renovables,
42,11473.026,0.33115881625582294,2021-07-01T00:00:00.000+02:00,Residuos renovables,
43,13319.9895,0.38034873866393176,2021-08-01T00:00:00.000+02:00,Residuos renovables,
44,11972.5045,0.3990207506209898,2021-09-01T00:00:00.000+02:00,Residuos renovables,
45,6414.6,0.27021417588572905,2021-10-01T00:00:00.000+02:00,Residuos renovables,
46,13868.3715,0.6032952138955509,2021-11-01T00:00:00.000+01:00,Residuos renovables,
47,8866.093,0.4356569749812382,2021-12-01T00:00:00.000+01:00,Residuos renovables,
48,16076.9525,1.0,2021-01-01T00:00:00.000+01:00,Generación renovable,
49,20473.173000000003,1.0,2021-02-01T00:00:00.000+01:00,Generación renovable,
50,23832.2085,1.0,2021-03-01T00:00:00.000+01:00,Generación renovable,
51,22655.1745,1.0,2021-04-01T00:00:00.000+02:00,Generación renovable,
52,28539.896,1.0,2021-05-01T00:00:00.000+02:00,Generación renovable,
53,34846.308000000005,1.0,2021-06-01T00:00:00.000+02:00,Generación renovable,
54,34645.087,1.0,2021-07-01T00:00:00.000+02:00,Generación renovable,
55,35020.4645,1.0,2021-08-01T00:00:00.000+02:00,Generación renovable,
56,30004.716500000002,1.0,2021-09-01T00:00:00.000+02:00,Generación renovable,
57,23738.947,1.0,2021-10-01T00:00:00.000+02:00,Generación renovable,
58,22987.703499999996,1.0,2021-11-01T00:00:00.000+01:00,Generación renovable,
59,20351.087,1.0,2021-12-01T00:00:00.000+01:00,Generación renovable,
