,value,percentage,datetime,type,magnitude
0,287280.183,0.39647012718733704,2020-01-01T00:00:00.000+01:00,Hidráulica,
1,269668.184,0.3412765928797077,2020-02-01T00:00:00.000+01:00,Hidráulica,
2,411437.656,0.34425329716217745,2020-03-01T00:00:00.000+01:00,Hidráulica,
3,420455.39,0.423757374842193,2020-04-01T00:00:00.000+02:00,Hidráulica,
4,458389.649,0.40071116456114214,2020-05-01T00:00:00.000+02:00,Hidráulica,
5,326459.216,0.3289340430454505,2020-06-01T00:00:00.000+02:00,Hidráulica,
6,257572.389,0.21809613642378584,2020-07-01T00:00:00.000+02:00,Hidráulica,
7,209517.142,0.19542118230502795,2020-08-01T00:00:00.000+02:00,Hidráulica,
8,150212.625,0.15860091377109917,2020-09-01T00:00:00.000+02:00,Hidráulica,
9,240267.683,0.1989560177675142,2020-10-01T00:00:00.000+02:00,Hidráulica,
10,202285.404,0.2706733157928651,2020-11-01T00:00:00.000+01:00,Hidráulica,
11,233144.363,0.17404335843115912,2020-12-01T00:00:00.000+01:00,Hidráulica,
12,394171.704,0.543989160639491,2020-01-01T00:00:00.000+01:00,Eólica,
13,425887.595,0.5389789229690248,2020-02-01T00:00:00.000+01:00,Eólica,
14,668910.602,0.5596830452612656,2020-03-01T00:00:00.000+01:00,Eólica,
15,438322.747,0.44176505051425,2020-04-01T00:00:00.000+02:00,Eólica,
16,497416.938,0.43482770811523597,2020-05-01T00:00:00.000+02:00,Eólica,
17,464523.454,0.4680449205442475,2020-06-01T00:00:00.000+02:00,Eólica,
18,702703.285,0.5950050473414775,2020-07-01T00:00:00.000+02:00,Eólica,
19,668388.852,0.6234207781306044,2020-08-01T00:00:00.000+02:00,Eólica,
20,638260.961,0.6739032197794286,2020-09-01T00:00:00.000+02:00,Eólica,
21,858017.434,0.7104897742063004,2020-10-01T00:00:00.000+02:00,Eólica,
22,495030.509,0.6623886184574135,2020-11-01T00:00:00.000+01:00,Eólica,
23,1062711.647,0.7933192195077368,2020-12-01T00:00:00.000+01:00,Eólica,
24,38977.426,0.053792032858928585,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,
25,90623.606,0.11468804006242365,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,
26,110752.033,0.09266714402938432,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,
27,130256.844,0.13127979705211784,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,
28,184508.348,0.16129193833155794,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,
29,197867.205,0.19936719975077366,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,
30,216928.639,0.18368155930552862,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,
31,190992.433,0.17814278446091936,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,
32,155115.966,0.16377807090507038,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,
33,105574.1,0.08742167175012598,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,
34,46269.485,0.06191210377679169,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,
35,41018.534,0.03062052765686077,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,
36,4165.463,0.0057486793142433575,2020-01-01T00:00:00.000+01:00,Otras renovables,
37,3995.475,0.005056444088843829,2020-02-01T00:00:00.000+01:00,Otras renovables,
38,4059.376,0.003396513547172773,2020-03-01T00:00:00.000+01:00,Otras renovables,
39,3172.86,0.003197777591439131,2020-04-01T00:00:00.000+02:00,Otras renovables,
40,3625.363,0.00316918899206399,2020-05-01T00:00:00.000+02:00,Otras renovables,
41,3626.346,0.00365383665952839,2020-06-01T00:00:00.000+02:00,Otras renovables,
42,3799.593,0.0032172569292078187,2020-07-01T00:00:00.000+02:00,Otras renovables,
43,3232.749,0.0030152551034482744,2020-08-01T00:00:00.000+02:00,Otras renovables,
44,3521.164,0.0037177955444018017,2020-09-01T00:00:00.000+02:00,Otras renovables,
45,3782.983,0.0031325362760592497,2020-10-01T00:00:00.000+02:00,Otras renovables,
46,3756.11,0.005025961972929784,2020-11-01T00:00:00.000+01:00,Otras renovables,
47,2701.784,0.002016894404243309,2020-12-01T00:00:00.000+01:00,Otras renovables,
48,724594.7760000001,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,
49,790174.86,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,
50,1195159.667,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,
51,992207.841,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,
52,1143940.298,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,
53,992476.221,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,
54,1181003.9060000002,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,
55,1072131.176,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,
56,947110.716,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,
57,1207642.2000000002,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,
58,747341.508,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,
59,1339576.3280000002,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,
