,value,percentage,datetime,type,magnitude
0,370.826,0.023516722369106877,2020-01-01T00:00:00.000+01:00,Eólica,
1,339.276,0.022243873962395425,2020-02-01T00:00:00.000+01:00,Eólica,
2,533.154,0.026263513551457528,2020-03-01T00:00:00.000+01:00,Eólica,
3,241.702,0.015201132207687384,2020-04-01T00:00:00.000+02:00,Eólica,
4,352.562,0.018924739909761238,2020-05-01T00:00:00.000+02:00,Eólica,
5,220.432,0.008211410594519656,2020-06-01T00:00:00.000+02:00,Eólica,
6,221.35,0.009300228888149548,2020-07-01T00:00:00.000+02:00,Eólica,
7,208.655,0.009013382662619892,2020-08-01T00:00:00.000+02:00,Eólica,
8,189.775,0.007556267766337386,2020-09-01T00:00:00.000+02:00,Eólica,
9,327.893,0.0200928291365601,2020-10-01T00:00:00.000+02:00,Eólica,
10,348.844,0.017449757489968905,2020-11-01T00:00:00.000+01:00,Eólica,
11,286.454,0.0182824414265594,2020-12-01T00:00:00.000+01:00,Eólica,
12,5934.386,0.376341755953236,2020-01-01T00:00:00.000+01:00,Solar fotovoltaica,
13,8736.128,0.5727647406576168,2020-02-01T00:00:00.000+01:00,Solar fotovoltaica,
14,9208.55,0.45361917516191236,2020-03-01T00:00:00.000+01:00,Solar fotovoltaica,
15,10827.855,0.6809859057048302,2020-04-01T00:00:00.000+02:00,Solar fotovoltaica,
16,12909.149,0.6929342563332247,2020-05-01T00:00:00.000+02:00,Solar fotovoltaica,
17,12248.321,0.4562676599789395,2020-06-01T00:00:00.000+02:00,Solar fotovoltaica,
18,12754.592,0.5358962049919183,2020-07-01T00:00:00.000+02:00,Solar fotovoltaica,
19,12079.867,0.5218205352594194,2020-08-01T00:00:00.000+02:00,Solar fotovoltaica,
20,10546.029,0.41991104726944695,2020-09-01T00:00:00.000+02:00,Solar fotovoltaica,
21,9724.975,0.5959330056827031,2020-10-01T00:00:00.000+02:00,Solar fotovoltaica,
22,6760.523,0.3381726125584991,2020-11-01T00:00:00.000+01:00,Solar fotovoltaica,
23,6736.717,0.42995955357511834,2020-12-01T00:00:00.000+01:00,Solar fotovoltaica,
24,201.474,0.012776903783967246,2020-01-01T00:00:00.000+01:00,Otras renovables,
25,81.622,0.005351364318603848,2020-02-01T00:00:00.000+01:00,Otras renovables,
26,26.787,0.0013195450798510239,2020-03-01T00:00:00.000+01:00,Otras renovables,
27,15.416,0.0009695437113210015,2020-04-01T00:00:00.000+02:00,Otras renovables,
28,2.383,0.00012791411214186735,2020-05-01T00:00:00.000+02:00,Otras renovables,
29,59.751,0.0022258111092452273,2020-06-01T00:00:00.000+02:00,Otras renovables,
30,52.531,0.002207139479211131,2020-07-01T00:00:00.000+02:00,Otras renovables,
31,50.303,0.002172965843510907,2020-08-01T00:00:00.000+02:00,Otras renovables,
32,2.81,0.00011188571952790438,2020-09-01T00:00:00.000+02:00,Otras renovables,
33,27.317,0.0016739479449802597,2020-10-01T00:00:00.000+02:00,Otras renovables,
34,69.146,0.0034587980054161457,2020-11-01T00:00:00.000+01:00,Otras renovables,
35,39.86,0.002543996995198732,2020-12-01T00:00:00.000+01:00,Otras renovables,
36,9261.923,0.58736461789369,2020-01-01T00:00:00.000+01:00,Residuos renovables,
37,6095.533,0.39964002106138385,2020-02-01T00:00:00.000+01:00,Residuos renovables,
38,10531.687,0.5187977662067791,2020-03-01T00:00:00.000+01:00,Residuos renovables,
39,4815.29,0.30284341837616147,2020-04-01T00:00:00.000+02:00,Residuos renovables,
40,5365.594,0.2880130896448722,2020-05-01T00:00:00.000+02:00,Residuos renovables,
41,14316.092,0.5332951183172956,2020-06-01T00:00:00.000+02:00,Residuos renovables,
42,10772.0165,0.4525964266407209,2020-07-01T00:00:00.000+02:00,Residuos renovables,
43,10810.6415,0.46699311623444967,2020-08-01T00:00:00.000+02:00,Residuos renovables,
44,14376.298,0.5724207992446878,2020-09-01T00:00:00.000+02:00,Residuos renovables,
45,6238.7215,0.3823002172357566,2020-10-01T00:00:00.000+02:00,Residuos renovables,
46,12812.825,0.6409188319461159,2020-11-01T00:00:00.000+01:00,Residuos renovables,
47,8605.2265,0.5492140080031236,2020-12-01T00:00:00.000+01:00,Residuos renovables,
48,15768.609,1.0,2020-01-01T00:00:00.000+01:00,Generación renovable,
49,15252.559000000001,1.0,2020-02-01T00:00:00.000+01:00,Generación renovable,
50,20300.178,1.0,2020-03-01T00:00:00.000+01:00,Generación renovable,
51,15900.262999999999,1.0,2020-04-01T00:00:00.000+02:00,Generación renovable,
52,18629.688,1.0,2020-05-01T00:00:00.000+02:00,Generación renovable,
53,26844.596,1.0,2020-06-01T00:00:00.000+02:00,Generación renovable,
54,23800.489500000003,1.0,2020-07-01T00:00:00.000+02:00,Generación renovable,
55,23149.466500000002,1.0,2020-08-01T00:00:00.000+02:00,Generación renovable,
56,25114.912,1.0,2020-09-01T00:00:00.000+02:00,Generación renovable,
57,16318.9065,1.0,2020-10-01T00:00:00.000+02:00,Generación renovable,
58,19991.338,1.0,2020-11-01T00:00:00.000+01:00,Generación renovable,
59,15668.2575,1.0,2020-12-01T00:00:00.000+01:00,Generación renovable,
