,value,percentage,datetime
0,35084.9135,1,2019-01-01T00:00:00.000+01:00
1,49547.660500000005,1,2019-02-01T00:00:00.000+01:00
2,35673.713,1,2019-03-01T00:00:00.000+01:00
3,35178.246,1,2019-04-01T00:00:00.000+02:00
4,32496.982500000006,1,2019-05-01T00:00:00.000+02:00
5,26945.529499999997,1,2019-06-01T00:00:00.000+02:00
6,22188.199,1,2019-07-01T00:00:00.000+02:00
7,17908.8,1,2019-08-01T00:00:00.000+02:00
8,22034.664,1,2019-09-01T00:00:00.000+02:00
9,32207.901500000004,1,2019-10-01T00:00:00.000+02:00
10,51404.6015,1,2019-11-01T00:00:00.000+01:00
11,55044.6755,1,2019-12-01T00:00:00.000+01:00
